label,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50
metal_plate,1642979.25,0.0,0.0,19435.0,729.19088,4.0,41015.625,150421.98974511906,0.0,19435.0,0.0,0.0,19435.0,0.0,0.0,19435.0,0.0,0.0,19435.0,0.0
metal_plate,1643023.75,3.4681521354402896e-05,7.709005622163e-07,19481.0,820.8354,5.0,40976.5625,137173.09958626333,0.0,19458.0,0.0,0.0,19458.0,0.0,0.0,19458.0,0.0,0.0,19458.0,0.0
metal_plate,1643252.875,0.006353567228120463,0.000951527130597542,19517.0,1444.80914,10.0,40781.25,114841.65584372428,0.0,19477.666666666668,0.0,0.0,19477.666666666668,0.0,0.0,19477.666666666668,0.0,0.0,19477.666666666668,0.0
metal_plate,1643479.375,-0.001683408239107129,-0.0015165991910410384,19511.0,859.9783,12.0,40898.4375,133778.35314544395,0.0,19486.0,0.0,0.0,19486.0,0.0,0.0,19486.0,0.0,0.0,19486.0,0.0
metal_plate,1643883.0,-0.015864504431918072,-0.008463215282190021,19377.0,1373.69324,17.0,40507.8125,123156.77857049373,-58.0,19464.2,-27265.211174625336,0.0,19464.2,0.0,0.0,19464.2,0.0,0.0,19464.2,0.0
metal_plate,1643928.875,-0.026170940246069512,-0.014070052724148067,19228.0,760.63608,10.0,40898.4375,142105.78492282642,-253.0,19422.8,4932.685336563096,0.0,19424.833333333332,0.0,0.0,19424.833333333332,0.0,0.0,19424.833333333332,0.0
metal_plate,1644123.125,-0.07113308361302888,-0.04603336996257134,18725.0,927.59248,11.0,40859.375,117618.38824025114,-792.0,19271.6,2776.732396526859,0.0,19324.85714285714,0.0,0.0,19324.85714285714,0.0,0.0,19324.85714285714,0.0
metal_plate,1644292.375,-0.15775029694056178,-0.11066770733664008,17812.0,950.85554,15.0,40351.5625,115861.3708918875,-1699.0,18930.6,-17916.982253556445,0.0,19135.75,0.0,0.0,19135.75,0.0,0.0,19135.75,0.0
metal_plate,1644519.25,-0.3241672796999032,-0.22534761403323572,16384.0,576.35794,16.0,40859.375,127299.80161472895,-2993.0,18305.2,4143.023044235219,0.0,18830.0,0.0,0.0,18830.0,0.0,0.0,18830.0,0.0
metal_plate,1644711.875,-0.48159955443670555,-0.3138231791617804,14914.0,875.30844,14.0,41171.875,105948.38901856095,-4314.0,17412.6,-36157.395904265475,-4521.0,18438.4,-44473.600726558114,0.0,18438.4,0.0,0.0,18438.4,0.0
