session_id,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50,calc_dist_m,ttc,label
cardboard,477364.6875,0.0,0.0,16523.0,315.63876,11.0,41015.625,276121.2354072906,0.0,16523.0,0.0,0.0,16523.0,0.0,0.0,16523.0,0.0,0.0,16523.0,0.0,1.450851584,,not_towards
cardboard,477408.1875,-0.0082310889967356,-0.0001788569646333,17509.0,330.42062,3.0,250429.6875,297763.85065607977,0.0,17016.0,0.0,0.0,17016.0,0.0,0.0,17016.0,0.0,0.0,17016.0,0.0,1.5374302720000002,,not_towards
cardboard,477603.25,0.1289732597585506,0.0182669986885115,16929.0,363.45708,4.0,250507.8125,258332.535785122,0.0,16987.0,0.0,0.0,16987.0,0.0,0.0,16987.0,0.0,0.0,16987.0,0.0,1.486501632,,not_towards
cardboard,477798.0,0.0333027473755989,-0.0077132308136662,18320.0,332.76634,2.0,40351.5625,280096.96660403605,0.0,17320.25,0.0,0.0,17320.25,0.0,0.0,17320.25,0.0,0.0,17320.25,0.0,1.60864256,,not_towards
cardboard,477988.875,-0.1560369035544621,-0.0835420074896934,16891.0,317.63758,3.0,41015.625,255103.45864728463,368.0,17234.4,-21017.776760005945,0.0,17234.4,0.0,0.0,17234.4,0.0,0.0,17234.4,0.0,1.483164928,,not_towards
cardboard,478186.375,0.0493211771472033,0.0404214602125842,18328.0,406.44116,2.0,40820.3125,294357.5559123398,819.0,17595.4,-3406.2947437399416,0.0,17416.666666666668,0.0,0.0,17416.666666666668,0.0,0.0,17416.666666666668,0.0,1.609345024,,not_towards
cardboard,478407.0625,-0.0416566211114127,-0.0291663229511188,14490.0,365.57662,17.0,40312.5,286835.93949744885,-2439.0,16991.6,28503.403712326864,0.0,16998.571428571428,0.0,0.0,16998.571428571428,0.0,0.0,16998.571428571428,0.0,1.27233792,,not_towards
cardboard,478597.875,-0.1061559280823657,-0.0747174228813859,16811.0,322.03034,4.0,40273.4375,246600.89414662495,-1509.0,16968.0,-33496.072457411065,0.0,16975.125,0.0,0.0,16975.125,0.0,0.0,16975.125,0.0,1.4761402879999999,,not_towards
cardboard,478853.46875,0.2709801452967254,0.2378818712527642,19121.0,422.50564,4.0,40195.3125,240715.48547770313,2230.0,17128.2,-14387.9731695815,0.0,17213.555555555555,0.0,0.0,17213.555555555555,0.0,0.0,17213.555555555555,0.0,1.6789767679999998,,not_towards
cardboard,479252.15625,-1.0181009659873834,-0.7365629680084217,9221.0,339.84141999999997,17.0,40664.0625,139293.12299750315,-9107.0,15594.2,-155064.43291483665,-7302.0,16414.3,-136828.1124097874,0.0,16414.3,0.0,0.0,16414.3,0.0,0.809677568,,not_towards
cardboard,479297.9375,-1.300686675410709,-0.9109148580019618,9027.0,333.93354,16.0,40820.3125,146538.97031431686,-5463.0,13734.0,-140296.969183132,-8482.0,15664.7,-151224.8803417629,0.0,15742.727272727272,0.0,0.0,15742.727272727272,0.0,0.792642816,0.5161243626232759,towards
cardboard,479495.5,-1.490823258575289,-0.917897235225265,7835.0,339.29048,18.0,41015.625,146161.622904609,-8976.0,12403.0,-100439.271242016,-9094.0,14697.3,-112170.912880513,0.0,15083.75,0.0,0.0,15083.75,0.0,0.68797568,0.4097798042795038,towards
cardboard,479686.875,-1.551069141928006,-0.8422222340403303,6578.0,409.2812,16.0,40859.375,138720.87297065227,-12543.0,10356.4,-101994.61250705086,-11742.0,13662.2,-141376.09363338377,0.0,14429.46153846154,0.0,0.0,14429.46153846154,0.0,0.577601024,0.3408472555770163,towards
cardboard,479885.9375,-1.5570754343160491,-0.7422914620882461,4645.0,417.22588,18.0,40937.5,137035.69930065313,-4576.0,7461.2,-2257.423696850048,-12246.0,12294.7,-118067.7593466315,0.0,13730.57142857143,0.0,0.0,13730.57142857143,0.0,0.40786816000000004,0.24736040099356982,towards
cardboard,480299.53125,-1.5397183214075651,-0.5698585786966738,219.0,829.39944,16.0,40976.5625,113344.33746535606,-8808.0,5660.8,-33194.6328489608,-18109.0,10627.5,-181013.21844698375,0.0,12829.8,0.0,0.0,12829.8,0.0,0.019229951999999998,0.012460533990887594,towards
cardboard,480430.1875,-1.4657688868679597,-0.4941050789613396,21.0,802.06104,19.0,40820.3125,137223.38030764356,-7814.0,3859.6,-8938.242596965429,-14469.0,8796.8,-149612.5591898053,0.0,12029.25,0.0,0.0,12029.25,0.0,0.0018439679999999999,0.0012577543381813053,towards
cardboard,480831.4375,-1.2545211425577372,-0.308819696622715,66.0,212.61586,20.0,39921.875,197121.7592473713,-6512.0,2305.8,58400.886276719015,-16745.0,7354.4,-49479.134899253695,0.0,11325.529411764706,0.0,0.0,11325.529411764706,0.0,0.005795328,0.004616930234390522,towards
